kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,sciname_IN_GROOT,Mean_Root_diameter,Root_branching_density,Root_branching_ratio,Root_C_concentration,Root_C_N_ratio,Root_Ca_concentration,Root_K_concentration,Root_length_density_volume,Root_lifespan_mean,Root_lifespan_median,Root_lignin_concentration,Root_Mg_concentration,Root_Mn_concentration,Root_mycorrhizal colonization,Root_N_concentration,Root_P_concentration,Root_tissue_density,Rooting_depth,Specific_root_length,Specific_root_respiration,Root_litter_mass_loss_rate,Root_mass_fraction,Specific_root_area,Root_dry_matter_content,Root_mass_density,Lateral_spread,Coarse_root_fine_root_mass_ratio,Fine_root_mass_leaf_mass_ratio,Root_N_P_ratio,Root_total_structural_carbohydrate_concentration,Root_turnover_rate,Root_production,Root_stele_diameter,Root_stele_fraction,Net_nitrogen_uptake_rate,Root_vessel_diameter
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Lactuca,Lactuca,serriola,Lactuca serriola,Lactuca serriola,Lactuca_serriola,1,NO,Lactuca serriola,Lactuca serriola,Lactuca serriola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,G,Pinopsida,Pinales,Pinaceae,Pinaceae,Larix,Larix,laricina,Larix laricina,Larix laricina,Larix_laricina,1,NO,Larix laricina,Larix laricina,Larix laricina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,25.80555556,NA,NA,0.486533333,NA,39.5493184,NA,0.254285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Leersia,Leersia,oryzoides,Leersia oryzoides,Leersia oryzoides,Leersia_oryzoides,1,NO,Leersia oryzoides,Leersia oryzoides,Leersia oryzoides,NA,NA,NA,384.8847029,43.19236571,NA,NA,NA,NA,NA,NA,NA,NA,0,16.16695749,NA,NA,NA,69.52845635,53.26090357,NA,0.42575,NA,NA,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Medicago,Medicago,sativa,Medicago sativa,Medicago sativa,Medicago_sativa,1,NO,Medicago sativa,Medicago sativa,Medicago sativa,0.722186759,NA,NA,421.7366084,26,NA,NA,NA,NA,NA,27.7,NA,NA,70.45714286,18.50824474,NA,0.045597548,1.78,191.3105917,51,1.456666667,0.311931359,3724.429635,0.083775,NA,NA,NA,NA,NA,NA,0.415,NA,579.2266667,0.223622915,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Molluginaceae,Molluginaceae,Mollugo,Mollugo,verticillata,Mollugo verticillata,Mollugo verticillata,Mollugo_verticillata,1,NO,Mollugo verticillata,Mollugo verticillata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Monarda,Monarda,fistulosa,Monarda fistulosa,Monarda fistulosa,Monarda_fistulosa,1,NO,Monarda fistulosa,Monarda fistulosa,Monarda fistulosa,0.28925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.87547,NA,0.165191358,NA,93.37285277,25.4230065,1.414956629,0.411046263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Nepeta,Nepeta,cataria,Nepeta cataria,Nepeta cataria,Nepeta_cataria,1,NO,Nepeta cataria,Nepeta cataria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalidaceae,Oxalis,Oxalis,stricta,Oxalis stricta,Oxalis stricta,Oxalis_stricta,1,NO,Oxalis stricta,Oxalis stricta,Oxalis stricta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Plantaginaceae,Plantaginaceae,Penstemon,Penstemon,gracilis,Penstemon gracilis,Penstemon gracilis,Penstemon_gracilis,1,NO,Penstemon gracilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Saxifragales,Penthoraceae,Penthoraceae,Penthorum,Penthorum,sedoides,Penthorum sedoides,Penthorum sedoides,Penthorum_sedoides,1,NO,Penthorum sedoides,NA,Penthorum sedoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Phleum,Phleum,pratense,Phleum pratense,Phleum pratense,Phleum_pratense,1,NO,Phleum pratense,Phleum pratense,Phleum pratense,0.185683461,2.257584259,NA,400.910552,47.66629236,NA,NA,15.03680673,NA,NA,114.0996356,NA,NA,27.80793675,9.288873885,NA,0.155576899,0.152857143,393.5587203,26.20029229,NA,0.326589163,1868.107019,0.177006897,4.19049e-4,0.5,0.683501684,NA,NA,643.5111111,NA,NA,178.3922222,0.151298313,31.59752088,NA
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Phrymaceae,Phrymaceae,Phryma,Phryma,leptostachya,Phryma leptostachya,Phryma leptostachya,Phryma_leptostachya,1,NO,Phryma leptostachya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Physalis,Physalis,pubescens,Physalis pubescens,Physalis pubescens,Physalis_pubescens,1,NO,Physalis pubescens,Physalis pubescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Physalis,Physalis,virginiana,Physalis virginiana,Physalis virginiana,Physalis_virginiana,1,NO,Physalis virginiana,Physalis virginiana,Physalis virginiana,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Plantaginaceae,Plantaginaceae,Plantago,Plantago,lanceolata,Plantago lanceolata,Plantago lanceolata,Plantago_lanceolata,1,NO,Plantago lanceolata,Plantago lanceolata,Plantago lanceolata,0.228368317,NA,NA,408.6224115,43.67307848,3.748935154,10.14915514,2.994640523,NA,NA,NA,3.307777616,NA,80.66666667,10.27893304,1.368689362,0.138912722,0.57,225.0999155,30.52732637,8.105049012,0.394104891,1754.807183,0.22370621,8.316205e-5,NA,NA,NA,NA,NA,NA,NA,82.124,0.067558798,32.50034491,NA
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,amphibia,Persicaria amphibia,Persicaria amphibia,Persicaria_amphibia,1,NO,Persicaria amphibia,Polygonum amphibium,Persicaria amphibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Polygonum,thunbergii,Polygonum thunbergii,Persicaria thunbergii,Persicaria_thunbergii,1,NO,Polygonum thunbergii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,hydropiper,Persicaria hydropiper,Persicaria hydropiper,Persicaria_hydropiper,1,NO,Persicaria hydropiper,Persicaria hydropiper,Polygonum hydropiper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,maculosa,Persicaria maculosa,Persicaria maculosa,Persicaria_maculosa,1,NO,Persicaria maculosa,Polygonum persicaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Populus,Populus,tremuloides,Populus tremuloides,Populus tremuloides,Populus_tremuloides,1,NO,Populus tremuloides,Populus tremuloides,Populus tremuloides,0.304,NA,NA,408.5883246,38.01503611,8.498686745,4.345063039,0.022094777,153,95,NA,1.26322669,0.226087024,2.5,12.38030869,1.165764798,0.676666667,0.903727273,62.7714861,10.62402888,NA,0.352185565,NA,NA,0.079,NA,NA,NA,4,NA,0.11509691,127,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Portulacaceae,Portulacaceae,Portulaca,Portulaca,oleracea,Portulaca oleracea,Portulaca oleracea,Portulaca_oleracea,1,NO,Portulaca oleracea,Portulaca oleracea,Portulaca oleracea,NA,NA,NA,373.053093,23.23481154,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05578303,NA,NA,NA,204.1311926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Malus,Malus,domestica,Malus domestica,Malus domestica,Malus_domestica,1,NO,Malus domestica,Malus domestica,Malus domestica,0.28,NA,NA,462.41195,NA,NA,NA,0.049,NA,30,NA,NA,NA,33.83333333,NA,NA,NA,2.4384,NA,23.26569289,NA,0.201547619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rhamnaceae,Rhamnaceae,Rhamnus,Rhamnus,cathartica,Rhamnus cathartica,Rhamnus cathartica,Rhamnus_cathartica,1,NO,Rhamnus cathartica,Rhamnus cathartica,Rhamnus cathartica,NA,NA,NA,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.33333333,9.9,NA,0.34,NA,31.6,NA,5.22,0.285125668,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Sapindales,Anacardiaceae,Anacardiaceae,Rhus,Rhus,typhina,Rhus typhina,Rhus typhina,Rhus_typhina,1,NO,Rhus canadensis,Rhus typhina,Rhus typhina,0.45,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,NA,0.09,NA,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
