node,taxonomy_tips,backbone_tips,simulated_tips,backbone_monophyletic,simulated_monophyletic,backbone_birth,simulated_birth,backbone_death,simulated_death,warnings
Saxifragales,4,,,False,False,,,,,
Grossulariaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Ribes,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Penthoraceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Penthorum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Saxifragaceae,2,2,2,True,True,0.008402828741488354,0.008402828741488354,0.0,0.0,
Heuchera,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Micranthes,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Solanales,7,7,7,True,True,0.04240306353460445,0.04240306353460445,0.03920215320052719,0.03920215320052719,
Convolvulaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Convolvulus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Solanaceae,6,6,6,True,True,0.04903846065229258,0.04903846065229258,0.0,0.0,
Physalis,2,2,2,True,True,0.07815222778907986,0.07815222778907986,0.0,0.0,
Solanum,4,4,4,True,True,0.04402301640261448,0.04402301640261448,0.0,0.0,
Vitales,3,3,3,True,True,0.027136345700912008,0.027136345700912008,0.0,0.0,
Vitaceae,3,3,3,True,True,0.027136345700912008,0.027136345700912008,0.0,0.0,
Parthenocissus,2,2,2,True,True,0.058216644410078705,0.058216644410078705,0.0,0.0,
Vitis,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
