"Species","Ti","Acc","gene"
"Carex oligosperma","Carex oligosperma chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher Savile&Vaillancourt 2429 (B)","HG915866","trnK"
"Carex rostrata","Carex rostrata clone 83ME07 tRNA-Lys (trnK) gene, intron; chloroplast","EU812681","trnK"
"Carex scoparia","Carex scoparia tRNA-Lys (trnK) gene, intron; chloroplast","KY055315","trnK"
"Chenopodium album","Chenopodium album chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher AC602","HE855665","trnK"
"Chenopodium hybridum","Chenopodium hybridum chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher AC521","HE855634","trnK"
"Cirsium discolor","Cirsium discolor isolate 1156 trnK gene, intron; plastid","GU817606","trnK"
"Comarum palustre","Comarum palustre isolate C.PAL147-2-109 tRNA-Lys (trnK) gene, intron; and maturase K (matK) gene, complete cds; chloroplast","MG603054","trnK"
"Danthonia spicata","Danthonia spicata tRNA-Lys (trnK) gene, intron; chloroplast","AY581223","trnK"
"Desmodium canadense","Desmodium canadense tRNA-Lys (trnK) gene, intron; chloroplast","KM098879","trnK"
"Hylodesmum glutinosum","Hylodesmum glutinosum tRNA-Lys (trnK) gene, intron; chloroplast","KM098868","trnK"
"Digitaria sanguinalis","Digitaria sanguinalis voucher T. Hodkinson 110 [TCD] trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","OP881234","trnK"
"Doellingeria umbellata","Doellingeria umbellata isolate DA15 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","KP175094","trnK"
"Elymus canadensis","Elymus canadensis voucher BOP022811 tRNA-Lys (trnK) gene, intron; chloroplast","KP210713","trnK"
"Elymus repens","Elymus repens chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher BRU:Christin 147","HF558527","trnK"
"Chamerion angustifolium","Chamerion angustifolium voucher E02 trnK gene, intron; and maturase K (matK) gene, partial cds; plastid","KP682435","trnK"
"Epilobium adenocaulon","Epilobium adenocaulon voucher E34 trnK gene, intron; and maturase K (matK) gene, partial cds; plastid","KP682444","trnK"
"Equisetum arvense","Equisetum arvense tRNA-Lys (trnK) gene, intron; and MatK (matK) gene, complete cds; chloroplast","AY348551","trnK"
"Erechtites hieraciifolius","Erechtites hieraciifolius trnK gene, intron; chloroplast","AF460049","trnK"
"Erigeron annuus","Erigeron annuus isolate 132 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","KP175050","trnK"
"Conyza canadensis","Conyza canadensis isolate E05 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","KP175124","trnK"
"Euphorbia geyeri","Euphorbia geyeri var. geyeri voucher Warnock 20915 (SRSC) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","HQ645726","trnK"
"Euphorbia glyptosperma","Euphorbia glyptosperma voucher Yang, Y. 35 (MICH) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","HQ645728","trnK"
"Euthamia graminifolia","Euthamia graminifolia isolate AH16 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","KP175079","trnK"
"Fallopia scandens","Fallopia scandens voucher Kim 504 (YU) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EF653708","trnK"
"Festuca ovina","Festuca ovina subsp. guestfalica tRNA-Lys (trnK) gene and intron, partial sequence; maturase K (matK) gene, complete cds; psbA gene, partial sequence, isolate DB11290","LR588327","trnK"
"Festuca guestfalica","Festuca guestfalica tRNA-Lys (trnK) gene and intron, partial sequence; maturase K (matK) gene, complete cds; psbA gene, partial sequence, isolate DB11283","LR588320","trnK"
"Festuca rubra","Festuca rubra subsp. littoralis tRNA-Lys (trnK) gene and intron, partial sequence; maturase K (matK) gene, complete cds; psbA gene, partial sequence, isolate DB11229","LR588267","trnK"
"Fraxinus americana","Fraxinus americana voucher Li 3609 trnK gene, partial sequence; and maturase K (matK) gene, complete cds; plastid","JN590993","trnK"
"Galium aparine","Galium aparine trnK gene, partial sequence; and maturase (matK) gene, partial cds; chloroplast","HQ384560","trnK"
"Glechoma hederacea","Glechoma hederacea trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","AY840143","trnK"
"Gnaphalium uliginosum","Gnaphalium uliginosum tRNA-Lys (trnK) gene, intron; and maturase K (matK) gene, complete cds; plastid","HM445642","trnK"
"Helenium autumnale","Helenium autumnale isolate 1146 trnK gene, intron; plastid","GU817633","trnK"
"Iris versicolor","Iris versicolor voucher A. Wheeler MF_01_VE_06 RSA trnK gene, partial sequence; and maturase K (matK) gene, complete cds; plastid","KC118947","trnK"
"Juniperus communis","Juniperus communis tRNA-Lys (trnK) gene and maturase K (matK) gene, partial sequence; chloroplast","AY988359","trnK"
"Lactuca canadensis","Lactuca canadensis isolate 1149 trnK gene, intron; plastid","GU817649","trnK"
"Lactuca serriola","Lactuca serriola isolate 129 maturase K (matK) gene, complete cds; and tRNA-Lys (trnK) gene, partial sequence; chloroplast","GU109315","trnK"
"Larix laricina","Larix laricina trnK gene, complete sequence; and maturase K (trnK) gene, complete cds; chloroplast genes for chloroplast products","AF295029","trnK"
"Lespedeza capitata","Lespedeza capitata voucher N. C. Henderson 02-97 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","JN402876","trnK"
"Linaria vulgaris","Linaria vulgaris tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","AY492149","trnK"
"Lolium multiflorum","Lolium multiflorum chloroplast DNA, trnH-psbA intergenic region, including trnK exon2, haplotype: F","LC081321","trnK"
"Maianthemum canadense","Maianthemum canadense voucher Sanders AC 23510,. UCR 120454 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EF133717","trnK"
"Maianthemum racemosum","Maianthemum racemosum subsp. amplexicaule voucher Sanders AC & Lawlor EJ 7228, UCR 121360 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EF133709","trnK"
"Maianthemum stellatum","Maianthemum stellatum voucher McCormac JS 5587, OS 398745 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EF133706","trnK"
"Medicago lupulina","Medicago lupulina isolate S68M trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","MW241883","trnK"
"Medicago sativa","Medicago sativa isolate S183M trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","MW241985","trnK"
"Melilotus officinalis","Melilotus officinalis isolate S27M trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","MW241826","trnK"
"Miscanthus x","Miscanthus x giganteus chloroplast parital trnK gene, intron region containing microsatellite DNA Sac-2A and Sac-2B, cultivar M1 clone LASEL1","FN646379","trnK"
"Moehringia lateriflora","Moehringia lateriflora tRNA-Lys (trnK) and matK genes, partial sequence; chloroplast","FJ404851","trnK"
"Mollugo verticillata","Mollugo verticillata tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","FJ404854","trnK"
"Monarda fistulosa","Monarda fistulosa trnK gene, partial sequence; and MatK (matK) gene, partial cds; chloroplast","AY943528","trnK"
"Dichanthelium acuminatum","Dichanthelium acuminatum chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher BRU:Christin 138","HF558501","trnK"
"Panicum miliaceum","Panicum miliaceum plastid partial trnK intron and matK gene for maturase K, specimen voucher G:G. Besnard 65-2006","FR822188","trnK"
"Panicum virgatum","Panicum virgatum plastid matK gene for maturase K and partial trnK intron, specimen voucher BRU: S.H. Taylor 26","FR821331","trnK"
"Parthenocissus quinquefolia","Parthenocissus quinquefolia trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","JQ844151","trnK"
"Pedicularis canadensis","Pedicularis canadensis chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher B. Boivin 11442, J.-P. Bernardm J.-M. Perron (LE)","HG423909","trnK"
"Cenchrus americanus","Cenchrus americanus chloroplast partial trnK gene intron and matK gene for maturase K, specimen voucher NSL 114290 (Berkeley)","HE574123","trnK"
"Penthorum sedoides","Penthorum sedoides tRNA-Lys (trnK) gene, intron; chloroplast","EF178971","trnK"
"Polygonum amphibium","Polygonum amphibium voucher Kim 600 (YU) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EF653724","trnK"
"Persicaria hydropiper","Persicaria hydropiper voucher Kim 570 (YU) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EF653727","trnK"
"Persicaria lapathifolia","Persicaria lapathifolia isolate P2 trnK gene, intron; and maturase K (matK) gene, partial cds; chloroplast","EU196940","trnK"
"Persicaria maculosa","Persicaria maculosa trnK gene, intron; and maturase K (matK) gene, partial cds; chloroplast","EU196945","trnK"
"Persicaria pensylvanica","Persicaria pensylvanica voucher Kim, Donoghue & Sultan 14 (YU) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EF653730","trnK"
"Persicaria sagittata","Persicaria sagittata voucher Kim 650 (YU) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EF653721","trnK"
"Dalea purpurea","Dalea purpurea trnK gene, partial sequence; and maturase (matK) gene, complete cds; chloroplast","AY391798","trnK"
"Phalaris arundinacea","Phalaris arundinacea chloroplast partial matK gene for maturase K and partial trnK gene intron, specimen voucher Doronkin & Bubnova 2264 (NS/NSK)","LR606949","trnK"
"Phleum pratense","Phleum pratense voucher Nannie Persson 13 (S) trnK gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","KU883573","trnK"
"Pinus banksiana","Pinus banksiana maturase K (matK) gene, complete cds; and tRNA-Lys (trnK) gene, partial sequence; chloroplast","EF440517","trnK"
"Plantago lanceolata","Plantago lanceolata voucher 62PV07 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EU718056","trnK"
"Plantago major","Plantago major voucher SZU Pflugbeil 40572 maturase K (matK) gene, partial cds; tRNA-Lys (trnK) gene, partial sequence; trnK-psbA intergenic spacer, complete sequence; and Psba (psbA) gene, partial cds; chloroplast","MG428543","trnK"
"Poa palustris","Poa palustris voucher PI 387934 ribosomal protein S16 (rps16), rps16-trnK intergenic spacer, and tRNA-Lys (trnK) gene, partial sequence; chloroplast","DQ389139","trnK"
"Poa pratensis","Poa pratensis USDA:GRIN:PI317504 Rps16 (rps16) gene, partial cds; rps16-trnK intergenic spacer, complete sequence; and tRNA-Lys (trnK) gene, partial sequence; chloroplast","HQ286364","trnK"
"Polygonatum biflorum","Polygonatum biflorum voucher Wen 11764 (US) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","KJ745682","trnK"
"Polygonella articulata","Polygonella articulata voucher Kim & Lundgren s.n (YU) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EF653709","trnK"
"Populus balsamifera","Populus balsamifera trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","KF940865","trnK"
"Populus deltoides","Populus deltoides trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","KF940868","trnK"
"Populus grandidentata","Populus grandidentata clone BG1 tRNA-Lys (trnK) gene, intron; and maturase K (matK) gene, complete cds; chloroplast","MF513644","trnK"
"Populus tremuloides","Populus tremuloides clone Sh4 tRNA-Lys (trnK) gene, intron; and maturase K (matK) gene, complete cds; chloroplast","MG202459","trnK"
"Portulaca oleracea","Portulaca oleracea trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","AY875349","trnK"
"Prunus virginiana","Prunus virginiana tRNA-Lys (trnK) gene, intron; chloroplast","AY727052","trnK"
"Quercus alba","Quercus alba tRNA-Lys (trnK) gene, intron sequence; and maturase (matK) gene, partial cds; chloroplast genes for chloroplast products","AY042464","trnK"
"Quercus ellipsoidalis","Quercus ellipsoidalis chloroplast matK gene for maturase K and partial trnK gene intron, bio material BR20040129-26","LM652874","trnK"
"Quercus macrocarpa","Quercus macrocarpa chloroplast partial matK gene for maturase K and partial trnK gene intron, biomaterial HILL:5163133","HE611284","trnK"
"Quercus petraea","Quercus petraea subsp. iberica chloroplast matK gene for maturase K and partial trnK gene intron, isolate Dedoplistskaro_2","LT718183","trnK"
"Ranunculus rhomboideus","Ranunculus rhomboideus chloroplast matK gene for maturase K and partial trnK intron, specimen voucher LE:Hezns, LaFerriere, Meyer, Nichols_29.04.1960","FM242790","trnK"
"Robinia pseudoacacia","Robinia pseudoacacia isolate 1067-JH from USA trnK gene, partial sequence; and maturase-like protein (matK) gene, complete cds; chloroplast","AF142728","trnK"
"Rumex acetosella","Rumex acetosella isolate ASL_65 tRNA-Lys (trnK) gene, partial sequence; trnK-rps16 intergenic spacer, complete sequence; and ribosomal protein S16 (rps16) gene, partial cds; chloroplast","OM927407","trnK"
"Sagittaria latifolia","Sagittaria latifolia voucher Les s.n. (MANCH) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","HQ456467","trnK"
"Salix bebbiana","Salix bebbiana chloroplast matK gene for maturase K and partial trnK gene intron","HE820973","trnK"
"Salsola kali","Salsola kali tRNA-Lys (trnK) gene, intron; and maturase K (matK) gene, complete cds; chloroplast","AY514843","trnK"
"Schizachne purpurascens","Schizachne purpurascens bio-material Millennium Seed Bank 428103 trnK gene, intron; and maturase K (matK) gene, partial cds; chloroplast","OK020243","trnK"
"Schizachyrium scoparium","Schizachyrium scoparium chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher K:M. Chase 36800","HE586094","trnK"
"Scutellaria galericulata","Scutellaria galericulata maturase K (matK) gene, complete sequence; tRNA-Lys (trnK) gene, partial sequence; trnK-psbA intergenic spacer, complete sequence; and psbA (psbA) gene, partial sequence, isolate Scu002","OU991604","trnK"
"Secale vavilovii","Secale vavilovii trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","KM487285","trnK"
"Secale cereale","Secale cereale USDA:GRIN:PI234656 trnK gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EU013184","trnK"
"Seemannia sylvatica","Seemannia sylvatica trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JX196066","trnK"
"Packera aurea","Packera aurea trnK gene, intron; chloroplast","AF460082","trnK"
"Setaria italica","Setaria italica chloroplast partial trnK gene intron and matK gene for maturase K, specimen voucher PI315090","HE574137","trnK"
"Silene latifolia","Silene latifolia ribosomal protein S16 (rps16) gene, exon 2 and partial cds; tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","KF305883","trnK"
"Sisyrinchium campestre","Sisyrinchium campestre voucher Fay KS01-01 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JN565638","trnK"
"Solanum americanum","Solanum americanum psbA-trnK intergenic spacer and tRNA-Lys (trnK) gene, partial sequence; chloroplast","AY727058","trnK"
"Sonchus arvensis","Sonchus arvensis maturase K (matK) gene, complete cds; and tRNA-Lys (trnK) gene and trnK-psbA intergenic spacer, partial sequence; chloroplast","DQ508001","trnK"
"Sorghastrum nutans","Sorghastrum nutans plastid matK gene for maturase K and partial trnK intron, specimen voucher BRU: S.H. Taylor 19","FR821326","trnK"
"Sporobolus cryptandrus","Sporobolus cryptandrus chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher BRU:Christin 154","HF558529","trnK"
"Stellaria media","Stellaria media trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","JQ844147","trnK"
"Hesperostipa comata","Hesperostipa comata subsp. comata voucher UTC 218764 rps16-trnK intergenic spacer and tRNA-Lys (trnK), partial sequence; chloroplast","EU204827","trnK"
"Hesperostipa spartea","Hesperostipa spartea voucher Holmes 214 US tRNA-Lys (trnK) gene, intron; plastid","EU489401","trnK"
"Strophostyles leiosperma","Strophostyles leiosperma trnK gene, partial sequence; and maturase (matK) gene, complete cds; chloroplast","AY509946","trnK"
"Symphoricarpos occidentalis","Symphoricarpos occidentalis voucher N. Pyck 90-1416 tRNA-Lys (trnK) gene, intron; chloroplast","FJ745411","trnK"
"Symphyotrichum novae-angliae","Symphyotrichum novae-angliae isolate 1208 trnK gene, intron; plastid","GU817588","trnK"
"Trachypogon spicatus","Trachypogon spicatus chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher RGD192","LN906788","trnK"
"Typha angustifolia","Typha angustifolia chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher Asmussen 107 (CP)","AM114723","trnK"
"Ulmus pumila","Ulmus pumila tRNA-Lys (trnK) gene, intron, partial sequence; chloroplast gene for chloroplast product","AF466247","trnK"
"Urtica dioica","Urtica dioica voucher VPI:Hinkle 351 trnK gene, intron; chloroplast","GU266585","trnK"
"Verbascum thapsis","Verbascum thapsis trnK gene, partial sequence; and maturase K (matK) gene, complete cds, chloroplast genes for chloroplast products","AF052002","trnK"
"Verbena bracteata","Verbena bracteata trnK gene, partial sequence; and maturase (matK) gene, partial cds; chloroplast","HQ384506","trnK"
"Veronicastrum virginicum","Veronicastrum virginicum tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","AY492168","trnK"
"Viburnum lentago","Viburnum lentago trnK gene, intron sequence; and maturase K (matK) gene, partial cds; chloroplast genes for chloroplast products","AY265182","trnK"
"Vitis vulpina","Vitis vulpina isolate VVul tRNA-Lys (trnK) gene, intron; chloroplast","GU815495","trnK"
