"Species","Ti","Acc","gene"
"Artemisia campestris","Artemisia campestris voucher NMW7226 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK925212","rbcL"
"Artemisia ludoviciana","Artemisia ludoviciana voucher CCDB-18322-F5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG223621","rbcL"
"Asclepias exaltata","Asclepias exaltata voucher SNP_13_0429 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KP643717","rbcL"
"Asclepias incarnata","Asclepias incarnata voucher JAG 0647 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG223921","rbcL"
"Asclepias ovalifolia","Asclepias ovalifolia voucher 81761HIM ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG221929","rbcL"
"Asclepias syriaca","Asclepias syriaca ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525251","rbcL"
"Asclepias tuberosa","Asclepias tuberosa ribulose 1,5-bisphosphate carboxylaseoxygenase large subunit (rbcL) gene, complete cds; chloroplast","MN601492","rbcL"
"Asclepias verticillata","Asclepias verticillata voucher FLAS:Majure 5081 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KY627186","rbcL"
"Asclepias viridiflora","Asclepias viridiflora ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525254","rbcL"
"Asparagus officinalis","Asparagus officinalis voucher MQ160 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT930309","rbcL"
"Astragalus canadensis","Astragalus canadensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525259","rbcL"
"Athyrium filix-femina","Athyrium filix-femina ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525263","rbcL"
"Athyrium felix-femina","Athyrium felix-femina ribulose-1,5-bisphosphate carboxylase/oxygenase (rbcL) gene, partial cds","U05908","rbcL"
"Baptisia alba","Baptisia alba ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525271","rbcL"
"Barbarea vulgaris","Barbarea vulgaris voucher XJ-14 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT930717","rbcL"
"Berteroa incana","Berteroa incana KG11-20.06.23 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OR515816","rbcL"
"Betula alleghaniensis","Betula alleghaniensis voucher MLTV82 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248676","rbcL"
"Betula papyrifera","Betula papyrifera voucher NTW 947 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG249606","rbcL"
"B. papyrifera","B. papyrifera rbcL gene for ribulose-biphosphate carboxylase (EC 4.1.1.39)","X56617","rbcL"
"Betula pumila","Betula pumila voucher JEM 056 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG249865","rbcL"
"Bidens cernua","Bidens cernua voucher BAB-2568 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG224694","rbcL"
"Bidens trichosperma","Bidens trichosperma voucher CCDB-22989-H03 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG224539","rbcL"
"Bidens tripartita","Bidens tripartita P2339 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial cds","LC722547","rbcL"
"Bouteloua curtipendula","Bouteloua curtipendula voucher CCDB-18344-E3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG226734","rbcL"
"Bouteloua hirsuta","Bouteloua hirsuta ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525318","rbcL"
"Bromus ciliatus","Bromus ciliatus voucher 04-PMP-18446 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF596606","rbcL"
"Bromus inermis","Bromus inermis voucher TLF-022 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT931768","rbcL"
"B.inermis chloroplast","B.inermis chloroplast rbcL gene for ribulosebiphosphate carboxylase","Z49836","rbcL"
"Bromus kalmii","Bromus kalmii voucher 21583HIM ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG228096","rbcL"
"Bromus tectorum","Bromus tectorum voucher MONT:87381 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OQ832148","rbcL"
"Bouteloua dactyloides","Bouteloua dactyloides ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF114357","rbcL"
"Buchloe dactyloides","Buchloe dactyloides plastid partial rbcL gene for ribulose-bisphosphate carboxylase, specimen voucher BRU: S.H. Taylor 23","FR821337","rbcL"
"Calamagrostis canadensis","Calamagrostis canadensis var. langsdorffii voucher 07-JMS-1049 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF596670","rbcL"
"Calamagrostis stricta","Calamagrostis stricta subsp. inexpansa voucher 03-JMS-0280 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF596685","rbcL"
"Sporobolus rigidus","Sporobolus rigidus voucher 02-JMS-0027 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF596688","rbcL"
"Calamovilfa longifolia","Calamovilfa longifolia voucher Hodkinson61 TCD ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","EF125104","rbcL"
"Caltha palustris","Caltha palustris isolate 48 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MZ676691","rbcL"
"Campanula aparinoides","Campanula aparinoides voucher BOP104459 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK555338","rbcL"
"Campanula rotundifolia","Campanula rotundifolia voucher FCO:33482 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT598914","rbcL"
"Capsella bursa-pastoris","Capsella bursa-pastoris KS23-2985 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OR738008","rbcL"
"Carex bebbii","Carex bebbii ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525381","rbcL"
"Carex bicknellii","Carex bicknellii voucher B1288 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG226433","rbcL"
"Carex canescens","Carex canescens voucher MF187 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KX678310","rbcL"
"Carex chordorrhiza","Carex chordorrhiza voucher NMW7899 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK925294","rbcL"
"Carex comosa","Carex comosa voucher B0180 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG227826","rbcL"
"Carex diandra","Carex diandra voucher B0223 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG227593","rbcL"
"Carex disperma","Carex disperma voucher NSMK:Pl2019000254 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MN623709","rbcL"
"Carex echinata","Carex echinata voucher B0251 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG226295","rbcL"
"Carex foenea","Carex foenea voucher SNEW011_B ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG227778","rbcL"
"Carex gracillima","Carex gracillima voucher NTW768 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG228103","rbcL"
"Carex haydenii","Carex haydenii voucher CCDB-18345-C5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG226929","rbcL"
"Carex interior","Carex interior voucher B1377 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG226570","rbcL"
"Carex lacustris","Carex lacustris voucher B0936 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG227665","rbcL"
"Carex lasiocarpa","Carex lasiocarpa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525439","rbcL"
"Carex oligosperma","Carex oligosperma voucher B1146 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG228249","rbcL"
"Carex pensylvanica","Carex pensylvanica voucher B0565 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG227711","rbcL"
"Carex rostrata","Carex rostrata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525481","rbcL"
"Carex scoparia","Carex scoparia voucher TJD-702 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG191387","rbcL"
"Carex stricta","Carex stricta ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525491","rbcL"
"Carex vulpinoidea","Carex vulpinoidea voucher B0743 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG227696","rbcL"
"Ceanothus americanus","Ceanothus americanus voucher 89533HIM ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG249604","rbcL"
"Celastrus scandens","Celastrus scandens voucher JAG 0831 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG246573","rbcL"
"Cenchrus longispinus","Cenchrus longispinus voucher JAG 0776WP ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG227221","rbcL"
"Chamaecrista fasciculata","Chamaecrista fasciculata voucher FLAS:Majure 5274 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KY627342","rbcL"
"Chamaedaphne calyculata","Chamaedaphne calyculata P3454 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial cds","LC610824","rbcL"
"Chenopodium album","Chenopodium album voucher FM28.leaf ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid","OR381700","rbcL"
"Chenopodiastrum hybridum","Chenopodiastrum hybridum voucher MQ170 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT931072","rbcL"
"Chenopodium leptophyllum","Chenopodium leptophyllum voucher CCDB-18297-B09 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248030","rbcL"
"Cicuta bulbifera","Cicuta bulbifera voucher CCDB-18321-E3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG223080","rbcL"
"Circaea lutetiana","Circaea lutetiana voucher NMW7852 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK924464","rbcL"
"Cirsium altissimum","Cirsium altissimum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525564","rbcL"
"Cirsium arvense","Cirsium arvense clone 1046687_2 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid","OR538517","rbcL"
"Cirsium discolor","Cirsium discolor ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525565","rbcL"
"Comandra umbellata","Comandra umbellata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525582","rbcL"
"Comarum palustre","Comarum palustre ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525583","rbcL"
"Convolvulus arvensis","Convolvulus arvensis voucher MONT:87311 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OQ832217","rbcL"
"Coreopsis palmata","Coreopsis palmata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525600","rbcL"
"Cornus alternifolia","Cornus alternifolia voucher SNP_13_0412 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KP643905","rbcL"
"Cornus racemosa","Cornus racemosa voucher Arn.Arb. 599 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","DQ340445","rbcL"
"Cornus sericea","Cornus sericea voucher NTW 1087 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG224388","rbcL"
"Corylus americana","Corylus americana voucher CCDB-18297-F07 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG249900","rbcL"
"Crepis tectorum","Crepis tectorum voucher CCDB-18322-F9 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG223526","rbcL"
"Crocanthemum bicknellii","Crocanthemum bicknellii voucher CCDB-23111-C07 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248023","rbcL"
"Cycloloma atriplicifolium","Cycloloma atriplicifolium voucher 57327HIM ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG247172","rbcL"
"Cyperus filiculmis","Cyperus filiculmis voucher FLAS:Majure 5078 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KY627183","rbcL"
"Cyperus schweinitzii","Cyperus schweinitzii voucher CCDB-23112-B07 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG228091","rbcL"
"Cyperus strigosus","Cyperus strigosus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525649","rbcL"
"Dalea candida","Dalea candida isolate 18-35 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK965412","rbcL"
"Dalea villosa","Dalea villosa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525664","rbcL"
"Danthonia spicata","Danthonia spicata voucher 08-DPYC-13 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF596712","rbcL"
"Delphinium carolinianum","Delphinium carolinianum subsp. virescens voucher CCDB-24918-D06 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG246676","rbcL"
"Desmodium canadense","Desmodium canadense ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525679","rbcL"
"Hylodesmum glutinosum","Hylodesmum glutinosum voucher JAG 0817 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG249909","rbcL"
"Dichanthelium linearifolium","Dichanthelium linearifolium voucher TJD-168 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KJ841274","rbcL"
"Digitaria cognata","Digitaria cognata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525706","rbcL"
"Digitaria ischaemum","Digitaria ischaemum voucher LiZJ0839 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MN205099","rbcL"
"Digitaria sanguinalis","Digitaria sanguinalis voucher GPAGA 327 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OL434839","rbcL"
"Doellingeria umbellata","Doellingeria umbellata ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525719","rbcL"
"Dryopteris carthusiana","Dryopteris carthusiana voucher MLTV80 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG215296","rbcL"
"Dryopteris cristata","Dryopteris cristata voucher SCBI-SIGEO_13_0135 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KP643861","rbcL"
"Dulichium arundinaceum","Dulichium arundinaceum voucher DAOM:574877 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MW010892","rbcL"
"Echinacea purpurea","Echinacea purpurea isolate HP70L ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MW131906","rbcL"
"Eleocharis geniculata","Eleocharis geniculata voucher BioBot00997 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","JQ591246","rbcL"
"Elymus canadensis","Elymus canadensis var. canadensis voucher 07-JMS-1005 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF596741","rbcL"
"Elymus repens","Elymus repens voucher 06-JMS-0600 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF596757","rbcL"
"Pascopyrum smithii","Pascopyrum smithii ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525773","rbcL"
"Elymus trachycaulus","Elymus trachycaulus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525775","rbcL"
"E.trachycaulus chloroplast","E.trachycaulus chloroplast rbcL gene for ribulosebiphosphate carboxylase","Z49839","rbcL"
"Chamaenerion angustifolium","Chamaenerion angustifolium voucher Ge130673 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT931744","rbcL"
"Chamerion angustifolium","Chamerion angustifolium ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) mRNA, partial cds; chloroplast gene for chloroplast product","L10217","rbcL"
"Epilobium ciliatum","Epilobium ciliatum subsp. glandulosum voucher SCBI-SIGEO_13_0604 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KP643947","rbcL"
"Epilobium adenocaulon","Epilobium adenocaulon plastid partial rbcL gene for ribulose-1,5-biphosphate carboxylase/oxygenase large subunit, specimen voucher H823783","HE574585","rbcL"
"Epilobium leptophyllum","Epilobium leptophyllum voucher CCDB-18332-F6 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248399","rbcL"
"Equisetum arvense","Equisetum arvense subsp. boreale isolate 41074 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid","MH750160","rbcL"
"Equisetum hyemale","Equisetum hyemale isolate 17_UNE_PC ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK030065","rbcL"
"Equisetum laevigatum","Equisetum laevigatum voucher MISU34-29 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG215438","rbcL"
