"Species","Ti","Acc","gene"
"Bouteloua aristidoides","Bouteloua aristidoides voucher US:Peterson 21994 & Saarela NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","GU359570","ndhF"
"Bromus inermis","Bromus inermis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","DQ786821","ndhF"
"Bromopsis inermis","Bromopsis inermis NADH dehydrogenase subunit F (ndhF), chloroplast gene encoding chloroplast protein, partial cds","U71037","ndhF"
"Bromus tectorum","Bromus tectorum chromoplast partial ndhF gene for NADH dehydrogenase subunit 5, specimen voucher BRU: Christin 133","HF558459","ndhF"
"Bouteloua dactyloides","Bouteloua dactyloides voucher US:Peterson 21441, Saarela & Stancik NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","GU359569","ndhF"
"Buchloe dactyloides","Buchloe dactyloides plastid partial ndhF gene for NADH dehydrogenase subunit F, specimen voucher BRU: S.H. Taylor 23","FR821354","ndhF"
"Calamagrostis canadensis","Calamagrostis canadensis NADH dehydrogenase subunit F (ndhF), chloroplast gene encoding chloroplast protein, partial cds","U71017","ndhF"
"Calamovilfa longifolia","Calamovilfa longifolia voucher US:Hatch 5738 & Bearden NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","GU359716","ndhF"
"Caltha palustris","Caltha palustris NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KU196930","ndhF"
"Campanula rotundifolia","Campanula rotundifolia voucher Steele 1318 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176863","ndhF"
"Capsella bursa-pastoris","Capsella bursa-pastoris NADH dehydrogenase subunit F (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds","AF064653","ndhF"
"Carex vulpinoidea","Carex vulpinoidea isolate B743 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KP273764","ndhF"
"Ceanothus americanus","Ceanothus americanus voucher FLAS:J. R. Abbott 25351 NADH dehydrogenase (ndhF) gene, partial cds; chloroplast","KC539646","ndhF"
"Celastrus scandens","Celastrus scandens NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","FJ670146","ndhF"
"Chamaedaphne calyculata","Chamaedaphne calyculata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","FJ008930","ndhF"
"Circaea lutetiana","Circaea lutetiana chloroplast partial ndhF gene for NADH dehydrogenase subunit F, exon 1, specimen voucher F. Rutschmann fru 86 (Z)","AM235433","ndhF"
"Cirsium discolor","Cirsium discolor isolate 1156 NADH dehydrogenase subunit F-like (ndhF) gene, partial sequence; plastid","GU817845","ndhF"
"Comandra umbellata","Comandra umbellata voucher Kellar 1411 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176859","ndhF"
"Convolvulus arvensis","Convolvulus arvensis ndhF gene","AJ236243","ndhF"
"Cornus alternifolia","Cornus alternifolia voucher Xiang 02-26 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","EU373581","ndhF"
"Cornus racemosa","Cornus racemosa voucher Xiang 599 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","EU373578","ndhF"
"Cornus sericea","Cornus sericea NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY725868","ndhF"
"Crepis tectorum","Crepis tectorum NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AF218348","ndhF"
"Cycloloma atriplicifolium","Cycloloma atriplicifolium voucher Hort. Bot. Berg. Stockholm 116 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","HM630047","ndhF"
"Cyperus filiculmis","Cyperus filiculmis voucher LSU:Reid 8664 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KX405874","ndhF"
"Cyperus strigosus","Cyperus strigosus voucher LSU:Reid 7581 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KX405932","ndhF"
"Danthonia spicata","Danthonia spicata voucher Taub, W.D. 30 (SASK) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","EU400789","ndhF"
"Digitaria sanguinalis","Digitaria sanguinalis voucher 2014468 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","MF065583","ndhF"
"Dulichium arundinaceum","Dulichium arundinaceum var. arundinaceum isolate STA2469 NADH dehydrogenase subunit F (ndhF) gene, partial cds; plastid","MF669285","ndhF"
"Echinacea purpurea","Echinacea purpurea chloroplast ndhF gene for NADH dehydrogenase subunit F, partial cds","AB530929","ndhF"
"Elymus canadensis","Elymus canadensis voucher H3994 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","HM770846","ndhF"
"Elymus trachycaulus","Elymus trachycaulus NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","DQ786838","ndhF"
"Epilobium angustifolium","Epilobium angustifolium NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AF495784","ndhF"
"Equisetum hyemale","Equisetum hyemale NADH dehydrogenase subunit F (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds","U30911","ndhF"
"Eragrostis spectabilis","Eragrostis spectabilis plastid partial ndhF gene for NADH dehydrogenase subunit 5, specimen voucher K:M. Chase 36797","HE577868","ndhF"
"Eutrochium maculatum","Eutrochium maculatum voucher Schilling 95-16 (TENN) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","EU337036","ndhF"
"Euphorbia corollata","Euphorbia corollata voucher Berry, P.E. 7764 (MICH) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","JQ750782","ndhF"
"Festuca ovina","Festuca ovina voucher M ller 6879 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","JX438166","ndhF"
"Festuca rubra","Festuca rubra bio-material NordGen 14264.2 NADH dehydrogenase F (ndhF) gene, partial cds; chloroplast","MH888139","ndhF"
"Fragaria virginiana","Fragaria virginiana subsp. grayana voucher GP15.1 NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast","JX064444","ndhF"
"Fraxinus americana","Fraxinus americana voucher Li 3609 NADH dehydrogenase subunit F (ndhF) pseudogene, partial sequence; plastid","JN591032","ndhF"
"Gloxinia sylvatica","Gloxinia sylvatica putative NADH dehydrogenase (ndhF) gene, chloroplast gene encoding chloroplast protein, partial sequence","U62157","ndhF"
"Galium aparine","Galium aparine voucher Steele 1309 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176860","ndhF"
"Glechoma hederacea","Glechoma hederacea NADH dehydrogenase (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds","U78691","ndhF"
"Glyceria grandis","Glyceria grandis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY622314","ndhF"
"Gnaphalium uliginosum","Gnaphalium uliginosum NADH dehydrogenase subunit F (ndhF) gene, partial cds; plastid","HM445680","ndhF"
"Helenium autumnale","Helenium autumnale isolate 1146 NADH dehydrogenase subunit F-like (ndhF) gene, partial sequence; plastid","GU817866","ndhF"
"Heliopsis helianthoides","Heliopsis helianthoides var. occidentalis voucher Aust 184 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176830","ndhF"
"Pilosella aurantiaca","Pilosella aurantiaca NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AF218336","ndhF"
"Hieracium umbellatum","Hieracium umbellatum voucher CPG12896 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KX526885","ndhF"
"Hieracium longipilum","Hieracium longipilum NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AF218351","ndhF"
"Anthoxanthum nitens","Anthoxanthum nitens voucher YDK2009577 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KM538751","ndhF"
"Impatiens capensis","Impatiens capensis voucher Kellar 1393 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176855","ndhF"
"Juniperus communis","Juniperus communis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY902175","ndhF"
"Lactuca canadensis","Lactuca canadensis isolate 1149 NADH dehydrogenase subunit F-like (ndhF) gene, partial sequence; plastid","GU817880","ndhF"
"Leersia oryzoides","Leersia oryzoides chloroplast partial ndhF gene for NADH dehydrogenase subunit 5, specimen voucher BM: H. Schaefer 2008/414","HE575734","ndhF"
"Lepidium virginicum","Lepidium virginicum chloroplast ndhF gene for NADH dehydrogenase subunit F, partial cds, isolate: YB025","LC090136","ndhF"
"Liatris aspera","Liatris aspera voucher Lickey 8/5/03-6, TENN NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","HQ416219","ndhF"
"Linaria vulgaris","Linaria vulgaris voucher Estenanez s.n. NADH dehydrogenase subunit (ndhF) gene, partial cds; chloroplast","JN848484","ndhF"
"Lithospermum canescens","Lithospermum canescens NADH dehydrogenase subunit ND5 (ndhF) gene, partial cds; ndhF-rpl32 intergenic spacer, complete sequence; and ribosomal protein L32 (rpl32) gene, partial cds; chloroplast","FJ827368","ndhF"
"Lolium multiflorum","Lolium multiflorum voucher YDK2009620 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KM538757","ndhF"
"Silene latifolia","Silene latifolia NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","DQ841751","ndhF"
"Lysimachia ciliata","Lysimachia ciliata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY839977","ndhF"
"Lysimachia thyrsiflora","Lysimachia thyrsiflora NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY839959","ndhF"
"Maianthemum canadense","Maianthemum canadense isolate IG_Ma_ci_131 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KY909084","ndhF"
"Medicago sativa","Medicago sativa Q(B) polypeptide (psbA) gene, partial cds; tRNA-His gene, complete sequence; and NADH dehydrogenase (ndhF) gene, partial cds; chloroplast genes for chloroplast products","AY029748","ndhF"
"Mirabilis albida","Mirabilis albida NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast","MN045970","ndhF"
"Mirabilis nyctaginea","Mirabilis nyctaginea NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast","MN045977","ndhF"
"Mollugo verticillata","Mollugo verticillata NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AY090617","ndhF"
"Monarda fistulosa","Monarda fistulosa var. mollis voucher Aust 190 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176845","ndhF"
"Muhlenbergia racemosa","Muhlenbergia racemosa voucher US:Peterson 20924, Saarela & Howard NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","GU359638","ndhF"
"Nepeta cataria","Nepeta cataria voucher Aust 177 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176846","ndhF"
"Oxalis stricta","Oxalis stricta voucher YNUH:O120510b NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KC481665","ndhF"
"Panicum capillare","Panicum capillare chloroplast partial ndhF gene for NADH dehydrogenase subunit F, specimen voucher PA Christin 10-2005 (G)","AM849174","ndhF"
"Dichanthelium acuminatum","Dichanthelium acuminatum NADH dehydrogenase F (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AY188485","ndhF"
"Panicum leibergii","Panicum leibergii voucher KEW *0398118 NADH dehydrogenase subunit F (ndhF) gene, partial cds; plastid","KU530324","ndhF"
"Panicum miliaceum","Panicum miliaceum chloroplast partial ndhF gene for NADH dehydrogenase subunit F, specimen voucher FR:0004796","FR667670","ndhF"
"Dichanthelium oligosanthes","Dichanthelium oligosanthes NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KJ740987","ndhF"
"Panicum virgatum","Panicum virgatum plastid partial ndhF gene for NADH dehydrogenase subunit F, specimen voucher BRU: S.H. Taylor 26","FR821364","ndhF"
"Parietaria pensylvanica","Parietaria pensylvanica NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AF500383","ndhF"
"Penstemon gracilis","Penstemon gracilis voucher Aust 173 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176851","ndhF"
"Penthorum sedoides","Penthorum sedoides NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast","EF207474","ndhF"
"Phalaris arundinacea","Phalaris arundinacea voucher YDK2009614 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KM538763","ndhF"
"Phleum pratense","Phleum pratense NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","DQ786860","ndhF"
"Phlox pilosa","Phlox pilosa NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AF207986","ndhF"
"Phryma leptostachya","Phryma leptostachya chloroplast partial ndhF gene for NADH dehydrogenase subunit F","AJ429118","ndhF"
"Physalis virginiana","Physalis virginiana voucher Aust 157 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176841","ndhF"
"Plantago lanceolata","Plantago lanceolata NADH dehydrogenase subunit (ndhF) gene, partial cds; chloroplast gene for chloroplast product","L36408","ndhF"
"Poa compressa","Poa compressa voucher UZ 51.08 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KJ529456","ndhF"
"Poa pratensis","Poa pratensis voucher WP14 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KJ529455","ndhF"
"Poa angustifolia","Poa angustifolia NADH dehydrogenase subunit F (ndhF), chloroplast gene encoding chloroplast protein, partial cds","U71010","ndhF"
"Polygonella articulata","Polygonella articulata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","GQ206290","ndhF"
"Persicaria pensylvanica","Persicaria pensylvanica NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","EF438056","ndhF"
"Persicaria sagittata","Persicaria sagittata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","GQ206288","ndhF"
"Populus deltoides","Populus deltoides voucher Alford 3038 (BH) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY757171","ndhF"
"Populus tremuloides","Populus tremuloides voucher Alford et al. 3063 (BH) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY757172","ndhF"
"Portulaca oleracea","Portulaca oleracea var. oleracea voucher JVD-1457 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","OM160991","ndhF"
"Comarum palustre","Comarum palustre isolate BOP016840 NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast","MN732620","ndhF"
"Prunus americana","Prunus americana voucher Wen9904 (US) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","JQ034205","ndhF"
"Prunus serotina","Prunus serotina subsp. capuli voucher Wen 8688 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","JQ776954","ndhF"
"Prunus virginiana","Prunus virginiana var. virginiana voucher Wen 7301 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","JQ776956","ndhF"
"Rhus glabra","Rhus glabra voucher Wen 7171 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY643100","ndhF"
"Toxicodendron radicans","Toxicodendron radicans subsp. radicans voucher Wen 6271-1 (F) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","FJ945844","ndhF"
"Rhus typhina","Rhus typhina voucher Wen 8557 (US) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","FJ945813","ndhF"
"Rubus idaeus","Rubus idaeus subsp. idaeus NADH dehydrogenase (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds","U95223","ndhF"
"Rudbeckia hirta","Rudbeckia hirta var. pulcherrima voucher Aust 172 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176831","ndhF"
"Rumex acetosella","Rumex acetosella NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","GQ206298","ndhF"
"Sagittaria latifolia","Sagittaria latifolia NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AY007657","ndhF"
"Salsola kali","Salsola kali NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","DQ097401","ndhF"
"Schizachne purpurascens","Schizachne purpurascens subsp. callosa voucher S.cal-1 NADH dehydrogenase subunit 5 (ndhF) gene, partial cds; chloroplast","KJ913037","ndhF"
"Schizachyrium scoparium","Schizachyrium scoparium var. neomexicanum voucher Moore & Steyermark 3369 (US) NADH dehydrogenase subunit 5 (ndhF) gene, partial cds; chloroplast","MW220988","ndhF"
"Scirpus cyperinus","Scirpus cyperinus isolate dS026 NADH dehydrogenase subunit F (ndhF) gene, partial cds; plastid","KJ513538","ndhF"
"Eleocharis geniculata","Eleocharis geniculata voucher WS:C.E.Hinchliff 36 NADH dehydrogenase subunit 5-like (ndhF) gene, partial sequence; chloroplast","GU075426","ndhF"
"Scleria triglomerata","Scleria triglomerata voucher WS:C.E.Hinchliff 697 NADH dehydrogenase subunit 5-like (ndhF) gene, partial sequence; chloroplast","GU075506","ndhF"
"Scutellaria galericulata","Scutellaria galericulata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","MN725568","ndhF"
"Scutellaria lateriflora","Scutellaria lateriflora NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","MN725607","ndhF"
"Scutellaria parvula","Scutellaria parvula var. australis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","MN725645","ndhF"
"Secale cereale","Secale cereale isolate Secale339 NdhF (ndhF) gene, partial cds; and ndhF-rpl32 intergenic spacer, partial sequence; chloroplast","MK750337","ndhF"
"Setaria italica","Setaria italica voucher YDK2009844 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KM538712","ndhF"
"Pennisetum glaucum","Pennisetum glaucum NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AF499149","ndhF"
"Setaria viridis","Setaria viridis voucher 2014716 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","MF065692","ndhF"
"Silene antirrhina","Silene antirrhina voucher Kellar 1417 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176861","ndhF"
"Sisymbrium altissimum","Sisymbrium altissimum NADH dehydrogenase subunit F (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds","AF064648","ndhF"
"Maianthemum racemosum","Maianthemum racemosum isolate IG_Ma_ra_076 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KY909119","ndhF"
"Smilacina racemosa","Smilacina racemosa NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY225016","ndhF"
"Maianthemum stellatum","Maianthemum stellatum isolate IG_Ma_st_077 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KY909125","ndhF"
"Smilax herbacea","Smilax herbacea voucher K. Cameron 1066 (NY) NdhF (ndhF) gene, partial cds; chloroplast","MT105004","ndhF"
"Solanum carolinense","Solanum carolinense voucher Aust 169 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176842","ndhF"
"Solanum dulcamara","Solanum dulcamara NADH dehydrogenase subunit (ndhF) gene, partial cds; chloroplast","KC469835","ndhF"
"Solanum nigrum","Solanum nigrum voucher PE CPG26425 B. Liu et al. 26425 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","ON962476","ndhF"
"Solidago missouriensis","Solidago missouriensis voucher Aust 198 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176834","ndhF"
"Sorghastrum nutans","Sorghastrum nutans plastid partial ndhF gene for NADH dehydrogenase subunit F, specimen voucher BRU: S.H. Taylor 19","FR821360","ndhF"
"Spartina pectinata","Spartina pectinata NADH dehydrogenase subunit F (NdhF) gene, partial cds; chloroplast gene for chloroplast product","AF251465","ndhF"
"Spiraea tomentosa","Spiraea tomentosa NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast","EU002259","ndhF"
"Sporobolus cryptandrus","Sporobolus cryptandrus voucher US:Peterson 22003 & Saarela NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","GU359674","ndhF"
"Sporobolus heterolepis","Sporobolus heterolepis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KJ740989","ndhF"
"Stellaria media","Stellaria media NADH dehydrogenase (ndhF) gene, partial cds; chloroplast","HQ843288","ndhF"
"Hesperostipa comata","Hesperostipa comata subsp. intermedia NADH dehydrogenase subunit 5 (ndhF) gene, partial cds; chloroplast","KF445695","ndhF"
"Hesperostipa spartea","Hesperostipa spartea voucher Holmes 214 (US) NADH dehydrogenase subunit 5 (ndhF) gene, partial cds; chloroplast","GU254745","ndhF"
"Trachypogon spicatus","Trachypogon spicatus chloroplast partial ndhF gene for NADH dehydrogenase F, specimen voucher RGD192","LN908186","ndhF"
"Streptopus lanceolatus","Streptopus lanceolatus NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AF276020","ndhF"
"Symphoricarpos occidentalis","Symphoricarpos occidentalis voucher Steele 1358 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176835","ndhF"
"Thalictrum dasycarpum","Thalictrum dasycarpum isolate T14DASf NADH dehydrogenase subunit 5 (ndhF) gene, partial cds; chloroplast","KM206588","ndhF"
"Thalictrum dioicum","Thalictrum dioicum isolate T19DIOf NADH dehydrogenase subunit 5 (ndhF) gene, partial cds; chloroplast","KM206592","ndhF"
"Hypericum fraseri","Hypericum fraseri NdhF (ndhF) gene, partial cds; chloroplast","JX662754","ndhF"
"Trientalis borealis","Trientalis borealis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY856438","ndhF"
"Typha angustifolia","Typha angustifolia NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast gene for chloroplast product","U79230","ndhF"
"Ulmus americana","Ulmus americana voucher FLAS:J. R. Abbott 20041 NADH dehydrogenase (ndhF) gene, partial cds; chloroplast","KC539641","ndhF"
"Ulmus pumila","Ulmus pumila voucher FLAS:J. R. Abbott 25949 NADH dehydrogenase (ndhF) gene, partial cds; chloroplast","KC539650","ndhF"
"Uvularia sessilifolia","Uvularia sessilifolia voucher R.D. Thomas 51358 (MSB) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KC899422","ndhF"
"Verbascum thapsus","Verbascum thapsus chloroplast NADH dehydrogenase (ndhF) gene, partial cds","L36417","ndhF"
"Verbena bracteata","Verbena bracteata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","HQ384821","ndhF"
"Verbena hastata","Verbena hastata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","HM216784","ndhF"
"Vernonia fasciculata","Vernonia fasciculata isolate VfasciculataK37 NADH dehydrogenase (ndhF) gene, partial cds; chloroplast","EF155727","ndhF"
"Viburnum lentago","Viburnum lentago isolate DW21 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","HQ591670","ndhF"
"Zizia aurea","Zizia aurea voucher Aust 158 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176838","ndhF"
