"Species","Ti","Acc","gene"
"Amelanchier laevis","Amelanchier laevis voucher AP442 maturase K (matK) gene, partial cds; chloroplast","HQ593165","matK"
"Amelanchier sanguinea","Amelanchier sanguinea voucher MMD 028 maturase K (matK) gene, partial cds; chloroplast","MG221136","matK"
"Amorpha canescens","Amorpha canescens isolate UIC Ac1 maturase K (matK) gene, partial cds; chloroplast","MF153988","matK"
"Amphicarpaea bracteata","Amphicarpaea bracteata voucher Q728 maturase K (matK) gene, partial cds; chloroplast","MH660120","matK"
"Andropogon gerardii","Andropogon gerardii maturase (matK) gene, complete cds; chloroplast gene for chloroplast product","AF144577","matK"
"Anemone cylindrica","Anemone cylindrica voucher MISU22-11 maturase K (matK) gene, partial cds; chloroplast","MG220996","matK"
"Anemone patens","Anemone patens voucher Valuyskikh_100g_Rus maturase K (matK) gene, partial cds; chloroplast","MK050077","matK"
"Anemone quinquefolia","Anemone quinquefolia voucher NTW763 maturase K (matK) gene, partial cds; chloroplast","MG220927","matK"
"Anemone virginiana","Anemone virginiana voucher SCBI-SIGEO_13_0225 maturase K (matK) gene, partial cds; chloroplast","KP643102","matK"
"Antennaria parlinii","Antennaria parlinii voucher v0060509WIS maturase K (matK) gene, partial cds; chloroplast","MK509425","matK"
"Antennaria neglecta","Antennaria neglecta voucher ERM373 maturase K (matK) gene, partial cds; chloroplast","KX676985","matK"
"Antennaria plantaginifolia","Antennaria plantaginifolia voucher SCBI_13_0466 maturase K (matK) gene, partial cds; chloroplast","KP642803","matK"
"Apocynum androsaemifolium","Apocynum androsaemifolium voucher HERB0055 maturase K (matK) gene, partial cds; chloroplast","KX677062","matK"
"A.androsaemifolium chloroplast","A.androsaemifolium chloroplast matK gene","Z70183","matK"
"Apocynum cannabinum","Apocynum cannabinum voucher HERB0056 maturase K (matK) gene, partial cds; chloroplast","KX676779","matK"
"Aquilegia canadensis","Aquilegia canadensis voucher v0126598WIS maturase K (matK) gene, partial cds; chloroplast","MK509433","matK"
"Turritis glabra","Turritis glabra voucher XJ-108 maturase K (matK) gene, partial cds; chloroplast","MT917664","matK"
"Arabis glabra","Arabis glabra maturase K (matK) gene, complete cds; plastid gene for plastid product","AF144333","matK"
"Arabis hirsuta","Arabis hirsuta voucher Ge131061 maturase K (matK) gene, partial cds; chloroplast","MH659194","matK"
"Aralia nudicaulis","Aralia nudicaulis voucher ERM1484 maturase K (matK) gene, partial cds; chloroplast","KX677708","matK"
"Moehringia lateriflora","Moehringia lateriflora tRNA-Lys (trnK) and matK genes, partial sequence; chloroplast","FJ404851","matK"
"Aronia melanocarpa","Aronia melanocarpa voucher S. L. Zhou BOP022150 maturase K (matK) gene, complete cds; chloroplast","MG704048","matK"
"Artemisia ludoviciana","Artemisia ludoviciana voucher v0113432WIS maturase K (matK) gene, partial cds; chloroplast","MK509457","matK"
"Asclepias exaltata","Asclepias exaltata voucher SNP_13_0386 maturase K (matK) gene, partial cds; chloroplast","KP642905","matK"
"Asclepias incarnata","Asclepias incarnata voucher JAG 0647 maturase K (matK) gene, partial cds; chloroplast","MG225243","matK"
"Asclepias ovalifolia","Asclepias ovalifolia voucher v0223638WIS maturase K (matK) gene, partial cds; chloroplast","MK519675","matK"
"Asclepias syriaca","Asclepias syriaca voucher UD 026 maturase K (matK) gene, partial cds; chloroplast","MG225299","matK"
"Asclepias tuberosa","Asclepias tuberosa voucher Trotta950205 maturase K (matK) gene, partial cds; chloroplast","MH621535","matK"
"Asclepias verticillata","Asclepias verticillata isolate OSBAR 000517 maturase K (matK) gene, partial cds; chloroplast","MH552010","matK"
"Asclepias viridiflora","Asclepias viridiflora voucher v0231116WIS maturase K (matK) gene, partial cds; chloroplast","MK519681","matK"
"Asparagus officinalis","Asparagus officinalis voucher Ge130580 maturase K (matK) gene, partial cds; chloroplast","MT917256","matK"
"Symphyotrichum oolentangiense","Symphyotrichum oolentangiense voucher v0039468WIS maturase K (matK) gene, partial cds; chloroplast","MK520733","matK"
"Symphyotrichum ericoides","Symphyotrichum ericoides voucher v0029124WIS maturase K (matK) gene, partial cds; chloroplast","MK520725","matK"
"Symphyotrichum boreale","Symphyotrichum boreale voucher 09PROBE-05530 maturase K (matK) gene, partial cds; chloroplast","JN966701","matK"
"Symphyotrichum lanceolatum","Symphyotrichum lanceolatum voucher WAB_0132468968 maturase K (matK) gene, partial cds; chloroplast","KJ593113","matK"
"Eurybia macrophylla","Eurybia macrophylla voucher SNP_13_0428 maturase K (matK) gene, partial cds; chloroplast","KP643001","matK"
"Symphyotrichum novae-angliae","Symphyotrichum novae-angliae voucher CCDB-21226-A10 maturase K (matK) gene, partial cds; chloroplast","MG225002","matK"
"Aster novae-angliae","Aster novae-angliae maturase K (matK) gene, partial cds; chloroplast gene for chloroplast product","AF151441","matK"
"Solidago ptarmicoides","Solidago ptarmicoides voucher SNEW054_B maturase K (matK) gene, partial cds; chloroplast","MG224985","matK"
"Symphyotrichum puniceum","Symphyotrichum puniceum voucher AP354 maturase K (matK) gene, partial cds; chloroplast","HQ593461","matK"
"Doellingeria umbellata","Doellingeria umbellata voucher MT00180213 maturase K (matK) gene, partial cds; chloroplast","MG225054","matK"
"Astragalus canadensis","Astragalus canadensis voucher v0025027WIS maturase K (matK) gene, partial cds; chloroplast","MK519684","matK"
"Athyrium filix-femina","Athyrium filix-femina maturase K (matK) gene, partial sequence","JF303941","matK"
"Baptisia alba","Baptisia alba maturase K (matK) gene, partial cds; chloroplast","KJ772576","matK"
"Barbarea vulgaris","Barbarea vulgaris voucher Ge130089 maturase K (matK) gene, partial cds; chloroplast","MT917686","matK"
"Berteroa incana","Berteroa incana voucher Ge130389 maturase K (matK) gene, partial cds; chloroplast","MT917849","matK"
"Betula alleghaniensis","Betula alleghaniensis maturase K (matK) gene, complete cds; chloroplast","AY372015","matK"
"Betula papyrifera","Betula papyrifera voucher MF338 maturase K (matK) gene, partial cds; chloroplast","KX677751","matK"
"Betula pumila","Betula pumila voucher HERB0074 maturase K (matK) gene, partial cds; chloroplast","KX677622","matK"
"Bidens cernua","Bidens cernua voucher BAB-6860 maturase K (matK) gene, partial cds; chloroplast","MG225347","matK"
"Bidens coronata","Bidens coronata maturase K (matK) gene, partial cds; chloroplast","AY551476","matK"
"Bidens tripartita","Bidens tripartita P2339 chloroplast matK gene for maturase K, partial cds","LC722797","matK"
"Bidens comosa","Bidens comosa maturase K (matK) gene, partial cds; chloroplast","AY551475","matK"
"Bouteloua curtipendula","Bouteloua curtipendula maturase (matK) gene, complete cds; chloroplast gene for chloroplast product","AF144578","matK"
"Bouteloua aristidoides","Bouteloua aristidoides maturase K (matK) gene, partial cds; chloroplast","JF729088","matK"
"Bromus ciliatus","Bromus ciliatus voucher 04-PMP-18659 maturase K (matK) gene, partial cds; chloroplast","MF597202","matK"
"Bromus inermis","Bromus inermis voucher TLF-022 maturase K (matK) gene, partial cds; chloroplast","MT929971","matK"
"Bromus kalmii","Bromus kalmii voucher MT00179369 maturase K (matK) gene, partial cds; chloroplast","MG216969","matK"
"Bromus tectorum","Bromus tectorum voucher TW-0044 maturase K (matK) gene, partial cds; chloroplast","MT929975","matK"
"Bouteloua dactyloides","Bouteloua dactyloides voucher Li ZY, Xu SZ 13528 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","MF159514","matK"
"Buchloe dactyloides","Buchloe dactyloides maturase (matK) gene, complete cds; chloroplast gene for chloroplast product","AF312325","matK"
"Calamagrostis canadensis","Calamagrostis canadensis subsp. langsdorffii voucher CMN:590946 (P.M. Peterson, J.M. Saarela & S.F. Smith 18711) maturase K (matK) gene, partial cds; chloroplast","KX873263","matK"
"Calamagrostis stricta","Calamagrostis stricta subsp. inexpansa voucher NMNH:3543900 (S.S. Talbot ADA030-25) maturase K (matK) gene, partial cds; chloroplast","KX873361","matK"
"Caltha palustris","Caltha palustris voucher v0175953WIS maturase K (matK) gene, partial cds; chloroplast","MK519727","matK"
"Campanula aparinoides","Campanula aparinoides voucher BOP104459 maturase K (matK) gene, partial cds; chloroplast","MK555774","matK"
"Campanula rotundifolia","Campanula rotundifolia voucher BOP205715 maturase K (matK) gene, partial cds; chloroplast","MK555954","matK"
"Capsella bursa-pastoris","Capsella bursa-pastoris voucher XJ-162 maturase K (matK) gene, partial cds; chloroplast","MT917684","matK"
"Carex bebbii","Carex bebbii voucher v0184046WIS maturase K (matK) gene, partial cds; chloroplast","MK519756","matK"
"Carex bicknellii","Carex bicknellii voucher v0184196WIS maturase K (matK) gene, partial cds; chloroplast","MK519757","matK"
"Carex canescens","Carex canescens isolate FMS-08 maturase K (matK) gene, partial cds; chloroplast","MH496671","matK"
"Carex echinata","Carex echinata voucher KSRB 055 maturase K (matK) gene, partial cds; chloroplast","MG217134","matK"
"Carex chordorrhiza","Carex chordorrhiza voucher RBGE208 maturase K (matK) gene, partial cds; chloroplast","MK926133","matK"
"Carex comosa","Carex comosa chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher Gillett&Baum s.n. (ALA)","HG915847","matK"
"Carex diandra","Carex diandra voucher Saarela_1551_CAN maturase K (matK) gene, partial cds; chloroplast","KC474313","matK"
"Carex disperma","Carex disperma maturase K (matK) gene, partial cds; chloroplast","KP980093","matK"
"Carex foenea","Carex foenea voucher B. Gilbert B53/1.4.1 (MTMG) maturase K (matK) gene, partial cds; chloroplast","KU496572","matK"
"Carex gracillima","Carex gracillima voucher WAB_0132469180 maturase K (matK) gene, partial cds; chloroplast","KJ592879","matK"
"Carex haydenii","Carex haydenii voucher v0200894WIS maturase K (matK) gene, partial cds; chloroplast","MK519799","matK"
"Carex interior","Carex interior voucher ERM1105 maturase K (matK) gene, partial cds; chloroplast","KX677231","matK"
"Carex lacustris","Carex lacustris voucher v0254734WIS maturase K (matK) gene, partial cds; chloroplast","MK519806","matK"
"Carex lasiocarpa","Carex lasiocarpa voucher MISU25-19 maturase K (matK) gene, partial cds; chloroplast","MG217037","matK"
"Carex vulpinoidea","Carex vulpinoidea voucher v0126121WIS maturase K (matK) gene, partial cds; chloroplast","MK519870","matK"
"Carex oligosperma","Carex oligosperma voucher MTMG:M.J. Waterway 97.094 maturase K (matK) gene, partial cds; chloroplast","KR902910","matK"
"Carex pensylvanica","Carex pensylvanica voucher AP004-b maturase K (matK) gene, partial cds; chloroplast","HQ593215","matK"
"Carex rostrata","Carex rostrata voucher M.J. Waterway 97.083 (MTMG) maturase K (matK) gene, partial cds; chloroplast","KU496585","matK"
"Carex scoparia","Carex scoparia voucher v0198435WIS maturase K (matK) gene, partial cds; chloroplast","MK519847","matK"
"Carex stricta","Carex stricta voucher v0204898WIS maturase K (matK) gene, partial cds; chloroplast","MK519854","matK"
"Chamaecrista fasciculata","Chamaecrista fasciculata voucher Trotta950201 maturase K (matK) gene, partial cds; chloroplast","MH621636","matK"
"Ceanothus americanus","Ceanothus americanus voucher MT00179379 maturase K (matK) gene, partial cds; chloroplast","MG220860","matK"
"Celastrus scandens","Celastrus scandens maturase K (matK) gene, partial cds; plastid","EU328936","matK"
"Cenchrus longispinus","Cenchrus longispinus voucher v0221181WIS maturase K (matK) gene, partial cds; chloroplast","MK519885","matK"
"Chamaedaphne calyculata","Chamaedaphne calyculata P3454 chloroplast matK gene for maturase K, partial cds","LC610863","matK"
"Chenopodium album","Chenopodium album voucher Q176 maturase K (matK) gene, partial cds; chloroplast","MH659619","matK"
"Chenopodiastrum hybridum","Chenopodiastrum hybridum voucher NMW7387 maturase K (matK) gene, partial cds; chloroplast","MK926222","matK"
"Chenopodium hybridum","Chenopodium hybridum chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher AC609","HE855635","matK"
"Chenopodium leptophyllum","Chenopodium leptophyllum voucher HERB0130 maturase K (matK) gene, partial cds; chloroplast","KX677104","matK"
"Heterotheca villosa","Heterotheca villosa voucher v0033254WIS maturase K (matK) gene, partial cds; chloroplast","MK520177","matK"
"Cicuta bulbifera","Cicuta bulbifera voucher BAB-2943 maturase K (matK) gene, partial cds; chloroplast","MG225077","matK"
"Circaea lutetiana","Circaea lutetiana voucher v0139816WIS maturase K (matK) gene, partial cds; chloroplast","MK519915","matK"
"Cirsium arvense","Cirsium arvense voucher Q629 maturase K (matK) gene, partial cds; chloroplast","MH660028","matK"
"Cirsium discolor","Cirsium discolor voucher v0033535WIS maturase K (matK) gene, partial cds; chloroplast","MK519918","matK"
"Comandra umbellata","Comandra umbellata voucher ERM1777 maturase K (matK) gene, partial cds; chloroplast","KX677170","matK"
"Convolvulus arvensis","Convolvulus arvensis voucher TW-0358 maturase K (matK) gene, partial cds; chloroplast","MT930208","matK"
"Erigeron canadensis","Erigeron canadensis voucher Anastasio Sotero 20707 (MEXU, US) maturase K (matK) gene, partial cds; chloroplast","OQ289918","matK"
"Conyza canadensis","Conyza canadensis maturase K (matK) gene, partial cds; chloroplast","KJ772674","matK"
"Coreopsis palmata","Coreopsis palmata maturase K (matK) gene, partial cds; chloroplast","AY551480","matK"
"Cornus alternifolia","Cornus alternifolia voucher v0124758WIS maturase K (matK) gene, partial cds; chloroplast","MK519951","matK"
"Cornus racemosa","Cornus racemosa voucher Xiang 157 maturase (matK) gene, partial cds; chloroplast","DQ340470","matK"
"Cornus sericea","Cornus sericea voucher ERM506 maturase K (matK) gene, partial cds; chloroplast","KX677417","matK"
"Corylus americana","Corylus americana voucher MT00179124 maturase K (matK) gene, partial cds; chloroplast","MG221012","matK"
"Crepis tectorum","Crepis tectorum voucher ERM663 maturase K (matK) gene, partial cds; chloroplast","KX677707","matK"
"Cycloloma atriplicifolium","Cycloloma atriplicifolium voucher v0013432WIS maturase K (matK) gene, partial cds; chloroplast","MK519976","matK"
"Cyperus filiculmis","Cyperus filiculmis isolate OSBAR 000514 maturase K (matK) gene, partial cds; chloroplast","MH552007","matK"
"Cyperus schweinitzii","Cyperus schweinitzii voucher v0194904WIS maturase K (matK) gene, partial cds; chloroplast","MK519982","matK"
"Cyperus strigosus","Cyperus strigosus voucher v0209215WIS maturase K (matK) gene, partial cds; chloroplast","MK519984","matK"
"Danthonia spicata","Danthonia spicata voucher 07-JMS-1077 maturase K (matK) gene, partial cds; chloroplast","MF597306","matK"
"Delphinium carolinianum","Delphinium carolinianum voucher v0111566WIS maturase K (matK) gene, partial cds; chloroplast","MK519995","matK"
"Desmodium canadense","Desmodium canadense voucher RBG 009 maturase K (matK) gene, partial cds; chloroplast","MG221159","matK"
"Hylodesmum glutinosum","Hylodesmum glutinosum voucher JAG 0817 maturase K (matK) gene, partial cds; chloroplast","MG221152","matK"
"Digitaria ischaemum","Digitaria ischaemum voucher LiZJ0839 maturase K (matK) gene, partial cds; chloroplast","MN450939","matK"
"Digitaria sanguinalis","Digitaria sanguinalis voucher GPAGA 327 maturase K (matK) gene, partial cds; chloroplast","OL434958","matK"
"Dryopteris cristata","Dryopteris cristata voucher EBS 51 (WIS) maturase K-like (matK) gene, partial sequence","JQ941641","matK"
"Dryopteris carthusiana","Dryopteris carthusiana voucher EBS 7 (WIS) maturase K-like (matK) gene, partial sequence","JQ941653","matK"
"Dulichium arundinaceum","Dulichium arundinaceum var. boreale voucher CAN:Cayouette 73-539 maturase K (matK) gene, partial cds; plastid","MK191067","matK"
"Elymus canadensis","Elymus canadensis var. canadensis voucher 07-JMS-1005 maturase K (matK) gene, partial cds; chloroplast","MF597331","matK"
"Elymus trachycaulus","Elymus trachycaulus voucher 06-JMS-0759 maturase K (matK) gene, partial cds; chloroplast","MF597351","matK"
"Chamaenerion angustifolium","Chamaenerion angustifolium voucher Ge130485 maturase K (matK) gene, partial cds; chloroplast","MT929949","matK"
"Chamerion angustifolium","Chamerion angustifolium voucher E173 trnK gene, intron; and maturase K (matK) gene, partial cds; plastid","KP682441","matK"
"Epilobium ciliatum","Epilobium ciliatum subsp. glandulosum voucher SCBI-SIGEO_13_0604 maturase K (matK) gene, partial cds; chloroplast","KP643039","matK"
"Epilobium adenocaulon","Epilobium adenocaulon voucher E34 clone E34b trnK gene, intron; and maturase K (matK) gene, partial cds; plastid","KP682445","matK"
"Epilobium leptophyllum","Epilobium leptophyllum voucher MISU25-24 maturase K (matK) gene, partial cds; chloroplast","MG220821","matK"
"Equisetum arvense","Equisetum arvense plastid partial matK gene for maturase K, isolate 26085","AM883547","matK"
"Equisetum hyemale","Equisetum hyemale matK gene for maturase K, partial cds, bio_material: KB:NIBR0000144465","AB817898","matK"
"Eragrostis spectabilis","Eragrostis spectabilis voucher v0229389WIS maturase K (matK) gene, partial cds; chloroplast","MK520061","matK"
"Erechtites hieraciifolius","Erechtites hieraciifolius voucher Canek Ledesma 20339 (MEXU, US) maturase K (matK) gene, partial cds; chloroplast","OQ289665","matK"
"Erigeron annuus","Erigeron annuus voucher Q179 maturase K (matK) gene, partial cds; chloroplast","MH659622","matK"
"Erigeron strigosus","Erigeron strigosus isolate OSBAR 000451 maturase K (matK) gene, partial cds; chloroplast","MH551947","matK"
"Eutrochium maculatum","Eutrochium maculatum voucher v0038572WIS maturase K (matK) gene, partial cds; chloroplast","MK520079","matK"
"Eupatorium perfoliatum","Eupatorium perfoliatum voucher v0114292WIS maturase K (matK) gene, partial cds; chloroplast","MK520080","matK"
"Euphorbia corollata","Euphorbia corollata voucher SCBI_13_0469 maturase K (matK) gene, partial cds; chloroplast","KP642990","matK"
"Euphorbia geyeri","Euphorbia geyeri var. geyeri voucher Warnock 20915 (SRSC) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","HQ645726","matK"
"Euphorbia glyptosperma","Euphorbia glyptosperma voucher Yang, Y. 35 (MICH) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","HQ645728","matK"
"Euthamia graminifolia","Euthamia graminifolia voucher NTW792 maturase K (matK) gene, partial cds; chloroplast","MG224954","matK"
"Festuca ovina","Festuca ovina subsp. guestfalica tRNA-Lys (trnK) gene and intron, partial sequence; maturase K (matK) gene, complete cds; psbA gene, partial sequence, isolate DB11290","LR588327","matK"
"Festuca guestfalica","Festuca guestfalica tRNA-Lys (trnK) gene and intron, partial sequence; maturase K (matK) gene, complete cds; psbA gene, partial sequence, isolate DB11283","LR588320","matK"
"Festuca rubra","Festuca rubra subsp. littoralis tRNA-Lys (trnK) gene and intron, partial sequence; maturase K (matK) gene, complete cds; psbA gene, partial sequence, isolate DB11229","LR588267","matK"
"Fragaria vesca","Fragaria vesca voucher Ge130537 maturase K (matK) gene, partial cds; chloroplast","MT930117","matK"
"Fragaria virginiana","Fragaria virginiana voucher ERM944 maturase K (matK) gene, partial cds; chloroplast","KX677448","matK"
"Fraxinus americana","Fraxinus americana voucher SCBI-SIGEO_13_0293 maturase K (matK) gene, partial cds; chloroplast","KP642888","matK"
"Fraxinus nigra","Fraxinus nigra voucher MT00180048 maturase K (matK) gene, partial cds; chloroplast","MG225127","matK"
"Fraxinus pennsylvanica","Fraxinus pennsylvanica voucher AP410 maturase K (matK) gene, partial cds; chloroplast","MG225248","matK"
"Seemannia sylvatica","Seemannia sylvatica trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JX196066","matK"
"Galium aparine","Galium aparine voucher TW-0043 maturase K (matK) gene, partial cds; chloroplast","MT918324","matK"
"Galium boreale","Galium boreale voucher Ge130014 maturase K (matK) gene, partial cds; chloroplast","MT918330","matK"
"Galium trifidum","Galium trifidum voucher v0261323WIS maturase K (matK) gene, partial cds; chloroplast","MK520126","matK"
"Galium triflorum","Galium triflorum voucher ERM1565 maturase K (matK) gene, partial cds; chloroplast","KX677333","matK"
"Gentiana andrewsii","Gentiana andrewsii voucher AP398 maturase K (matK) gene, partial cds; chloroplast","HQ593311","matK"
"Geranium maculatum","Geranium maculatum voucher SCBI-SIGEO_13_0058 maturase K (matK) gene, partial cds; chloroplast","KP642821","matK"
"Glechoma hederacea","Glechoma hederacea voucher JAG 0863 maturase K (matK) gene, partial cds; chloroplast","MG224988","matK"
"Glyceria grandis","Glyceria grandis voucher 03-JMS-0259 maturase K (matK) gene, partial cds; chloroplast","MF597404","matK"
"Gamochaeta purpurea","Gamochaeta purpurea isolate OSBAR 000336 maturase K (matK) gene, partial cds; chloroplast","MH551837","matK"
"Gnaphalium uliginosum","Gnaphalium uliginosum isolate NMW403 maturase K (matK) gene, partial cds; chloroplast","JN895615","matK"
"Helenium autumnale","Helenium autumnale voucher MMD 056 maturase K (matK) gene, partial cds; chloroplast","MG225340","matK"
"Helianthus hirsutus","Helianthus hirsutus maturase K (matK) gene, partial cds; chloroplast","KJ772830","matK"
"Heliopsis helianthoides","Heliopsis helianthoides voucher CCDB-21227-H01 maturase K (matK) gene, partial cds; chloroplast","MG224825","matK"
"Heuchera richardsonii","Heuchera richardsonii voucher v0125572WIS maturase K (matK) gene, partial cds; chloroplast","MK520178","matK"
"Pilosella aurantiaca","Pilosella aurantiaca voucher ERM1636 maturase K (matK) gene, partial cds; chloroplast","KX677591","matK"
"Hieracium aurantiacum","Hieracium aurantiacum voucher AP120 maturase K (matK) gene, partial cds; chloroplast","HQ593320","matK"
"Hieracium umbellatum","Hieracium umbellatum voucher 12CS5563 maturase K (matK) gene, partial cds; chloroplast","MK435709","matK"
"Hieracium longipilum","Hieracium longipilum voucher v0033994WIS maturase K (matK) gene, partial cds; chloroplast","MK520183","matK"
"Hierochloe odorata","Hierochloe odorata voucher RBGE109 maturase K (matK) gene, partial cds; chloroplast","MK926341","matK"
"Anthoxanthum nitens","Anthoxanthum nitens maturase K (matK) gene, partial cds","KJ025071","matK"
"Houstonia longifolia","Houstonia longifolia voucher SCBI-SIGEO_13_0215 maturase K (matK) gene, partial cds; chloroplast","KP643174","matK"
"Hypoxis hirsuta","Hypoxis hirsuta voucher v0040108WIS maturase K (matK) gene, partial cds; chloroplast","MK520201","matK"
"Ilex verticillata","Ilex verticillata voucher v0021754WIS maturase K (matK) gene, partial cds; chloroplast","MK520203","matK"
"Impatiens capensis","Impatiens capensis voucher HERB0065 maturase K (matK) gene, partial cds; chloroplast","KX677069","matK"
"Iris versicolor","Iris versicolor voucher ALR021 maturase K (matK) gene, partial cds; chloroplast","MG217124","matK"
"Juncus tenuis","Juncus tenuis voucher HERB0468 maturase K (matK) gene, partial cds; chloroplast","KX677667","matK"
"Juniperus communis","Juniperus communis var. hondoensis TF<JPN>:TW024240 chloroplast matK gene for maturase K, partial cds","LC678465","matK"
"Juniperus virginiana","Juniperus virginiana voucher BU-10230 maturase (matK) gene, partial cds; chloroplast","HM024065","matK"
"Krigia biflora","Krigia biflora voucher v0222111WIS maturase K (matK) gene, partial cds; chloroplast","MK520228","matK"
"Lactuca biennis","Lactuca biennis voucher BAB-5632 maturase K (matK) gene, partial cds; chloroplast","MG225222","matK"
"Lactuca canadensis","Lactuca canadensis voucher v0223810WIS maturase K (matK) gene, partial cds; chloroplast","MK520231","matK"
"Lactuca serriola","Lactuca serriola voucher Ge130395 maturase K (matK) gene, partial cds; chloroplast","MT917363","matK"
"Larix laricina","Larix laricina voucher v0217093WIS maturase K (matK) gene, partial cds; chloroplast","MK520235","matK"
"Lathyrus ochroleucus","Lathyrus ochroleucus voucher HERB0287 maturase K (matK) gene, partial cds; chloroplast","KX677106","matK"
"Lathyrus venosus","Lathyrus venosus isolate HS1178 maturase K (matK) gene, partial cds; chloroplast","JX505823","matK"
"Leersia oryzoides","Leersia oryzoides voucher MT00179864 maturase K (matK) gene, partial cds; chloroplast","MG216976","matK"
"Lepidium densiflorum","Lepidium densiflorum voucher BAR017 maturase K (matK) gene, partial cds; chloroplast","MG220737","matK"
"Lepidium virginicum","Lepidium virginicum isolate OSBAR 000305 maturase K (matK) gene, partial cds; chloroplast","MH551815","matK"
"Digitaria cognata","Digitaria cognata isolate OSBAR 000671 maturase K (matK) gene, partial cds; chloroplast","MH552155","matK"
"Lespedeza capitata","Lespedeza capitata maturase K (matK) gene, partial cds; chloroplast","KJ772888","matK"
"Liatris aspera","Liatris aspera voucher v0032629WIS maturase K (matK) gene, partial cds; chloroplast","MK520247","matK"
"Liatris ligulistylis","Liatris ligulistylis voucher v0033121WIS maturase K (matK) gene, partial cds; chloroplast","MK520249","matK"
"Liatris pycnostachya","Liatris pycnostachya voucher v0033362WIS maturase K (matK) gene, partial cds; chloroplast","MK520250","matK"
"Linaria vulgaris","Linaria vulgaris voucher Q-196 maturase K (matK) gene, partial cds; chloroplast","MT929888","matK"
"Lithospermum canescens","Lithospermum canescens maturase K (matK) gene, partial cds; chloroplast","FJ827261","matK"
"Lithospermum carolinense","Lithospermum carolinense maturase K (matK) gene, partial cds; chloroplast","FJ827260","matK"
"Lobelia siphilitica","Lobelia siphilitica voucher SCBI-SIGEO_13_0603 maturase K (matK) gene, partial cds; chloroplast","KP643110","matK"
"Lolium multiflorum","Lolium multiflorum voucher UZ 332.07 maturase K (matK) gene, partial cds; chloroplast","KJ529382","matK"
"Lonicera dioica","Lonicera dioica voucher HERB0169 maturase K (matK) gene, partial cds; chloroplast","KX676710","matK"
"Lonicera tatarica","Lonicera tatarica voucher BOP010281 maturase K (matK) gene, partial cds; chloroplast","MT157369","matK"
"Lonicera morrowii","Lonicera morrowii voucher TJD-087 maturase K (matK) gene, partial cds; chloroplast","KJ840933","matK"
"Ludwigia polycarpa","Ludwigia polycarpa voucher v0151224WIS maturase K (matK) gene, partial cds; chloroplast","MK520281","matK"
"Lupinus perennis","Lupinus perennis voucher v0264283WIS maturase K (matK) gene, partial cds; chloroplast","MK520282","matK"
"Silene latifolia","Silene latifolia maturase K (matK) gene, complete cds; chloroplast","EF547239","matK"
