"Species","Ti","Acc","gene"
"Campanula rotundifolia","Campanula rotundifolia ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","EU437669","atpB"
"Celastrus scandens","Celastrus scandens ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","AY788264","atpB"
"Comandra umbellata","Comandra umbellata voucher Kellar 1411 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176268","atpB"
"Convolvulus arvensis","Convolvulus arvensis voucher Kellar 1382 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176263","atpB"
"Erigeron canadensis","Erigeron canadensis ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","MT188782","atpB"
"Cornus alternifolia","Cornus alternifolia voucher Xiang 02-26 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","EU373560","atpB"
"Cornus racemosa","Cornus racemosa voucher Xiang Xiang 599 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","EU373557","atpB"
"Cornus sericea","Cornus sericea ATP synthase beta subunit (atpB) gene, partial cds; mitochondrial","AY725918","atpB"
"Danthonia spicata","Danthonia spicata voucher Taub, W.D. 30 (SASK) ATP synthase beta chain (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","EU400886","atpB"
"Elymus trachycaulus","Elymus trachycaulus ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","DQ780984","atpB"
"Epilobium angustifolium","Epilobium angustifolium ATP synthase beta subunit (atpB) gene, partial cds; chloroplast gene for chloroplast product","AF209582","atpB"
"Equisetum arvense","Equisetum arvense voucher W.D. Speer 284 ATP synthase beta subunit (atpB) and ATP synthase epsilon subunit (atpE) genes, partial cds; chloroplast","KC893876","atpB"
"Equisetum hyemale","Equisetum hyemale voucher UC 1733472 ATP synthase beta subunit (atpB) and ATP synthase epsilon subunit (atpE) genes, partial cds; chloroplast","KC893868","atpB"
"Equisetum laevigatum","Equisetum laevigatum chloroplast partial atpB gene for ATP synthase beta chain","AM422395","atpB"
"Festuca rubra","Festuca rubra ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","DQ780985","atpB"
"Galium aparine","Galium aparine voucher Steele 1309 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176272","atpB"
"Gentiana andrewsii","Gentiana andrewsii voucher James S. Pringle 2737 (LZ) ATP synthase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid","KT907514","atpB"
"Gymnocarpium dryopteris","Gymnocarpium dryopteris ATP synthase beta chain (atpB) gene, partial cds; chloroplast","JF832165","atpB"
"Heliopsis helianthoides","Heliopsis helianthoides var. occidentalis voucher Aust 184 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176240","atpB"
"Impatiens capensis","Impatiens capensis voucher Kellar 1393 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176266","atpB"
"Juniperus communis","Juniperus communis ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","AY664834","atpB"
"Lactuca serriola","Lactuca serriola isolate NARC73 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","KX401408","atpB"
"Larix laricina","Larix laricina isolate Lar2166 ATPase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","GU457448","atpB"
"Leersia oryzoides","Leersia oryzoides partial chloroplast atpB gene for ATP synthase beta subunit","AJ419157","atpB"
"Diphasiastrum complanatum","Diphasiastrum complanatum rbcL-atpB intergenic spacer, partial sequence; and ATP synthase CF1 beta subunit (atpB) gene, partial cds; chloroplast","MH064646","atpB"
"Medicago sativa","Medicago sativa ATP synthase beta subunit (atpB) and ATP synthase epsilon subunit (atpE) genes, complete cds; chloroplast genes for chloroplast products","AF163770","atpB"
"Mollugo verticillata","Mollugo verticillata voucher Edwards n.a. (BRU) ATPase beta chain (atpB) gene, partial cds; chloroplast","HQ620745","atpB"
"Monarda fistulosa","Monarda fistulosa var. mollis voucher Aust 190 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176249","atpB"
"Nepeta cataria","Nepeta cataria voucher Aust 177 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176250","atpB"
"Onoclea sensibilis","Onoclea sensibilis voucher 3791, Zhang XC ATP synthase beta chain (atpB) gene, partial cds; chloroplast","KC254275","atpB"
"Osmunda cinnamomea","Osmunda cinnamomea ATP synthase beta chain (atpB) gene, partial cds; chloroplast gene for chloroplast product","U93827","atpB"
"Osmundastrum cinnamomeum","Osmundastrum cinnamomeum isolate a065 rbcL-atpB intergenic spacer and AtpB (atpB) gene, partial sequence; chloroplast","EF588733","atpB"
"Osmunda claytoniana","Osmunda claytoniana isolate a054 rbcL-atpB intergenic spacer and AtpB (atpB) gene, partial sequence; chloroplast","EF588722","atpB"
"Osmunda regalis","Osmunda regalis isolate a060 rbcL-atpB intergenic spacer and AtpB (atpB) gene, partial sequence; chloroplast","EF588728","atpB"
"Oxalis stricta","Oxalis stricta isolate 39 ATP synthase beta subunit (atpB) gene, partial cds; plastid","AY935861","atpB"
"Penstemon gracilis","Penstemon gracilis voucher Aust 173 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176253","atpB"
"Penthorum sedoides","Penthorum sedoides chloroplast atpB gene","AJ235555","atpB"
"Phleum pratense","Phleum pratense ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","DQ781006","atpB"
"Phryma leptostachya","Phryma leptostachya ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","HQ384710","atpB"
"Physalis floridana","Physalis floridana chloroplast partial atpB gene for ATP synthase beta subunit, isolate P106","AM233302","atpB"
"Physalis pubescens","Physalis pubescens chloroplast partial atpB gene for ATP synthase beta subunit, isolate P070","AM233226","atpB"
"Physalis virginiana","Physalis virginiana voucher Aust 157 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176259","atpB"
"Plantago lanceolata","Plantago lanceolata isolate NARC28 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","KX401373","atpB"
"Polygonum amphibium","Polygonum amphibium isolate BL72 ATP synthase beta subunit (atpB) gene, partial cds; and atpB-rbcL intergenic spacer, partial sequence; chloroplast","HQ843113","atpB"
"Persicaria thunbergii","Persicaria thunbergii isolate BL13 ATP synthase beta subunit (atpB) gene, partial cds; and atpB-rbcL intergenic spacer, partial sequence; chloroplast","HQ843099","atpB"
"Persicaria hydropiper","Persicaria hydropiper isolate BL73 ATP synthase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","HQ843114","atpB"
"Persicaria maculosa","Persicaria maculosa isolate BL70 ATP synthase beta subunit (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","HQ843111","atpB"
"Populus tremuloides","Populus tremuloides ATP synthase beta subunit (atpB) gene, complete cds; chloroplast gene for chloroplast product","AF209658","atpB"
"Portulaca oleracea","Portulaca oleracea voucher Nyffeler n.a. (BRU) ATPase beta chain (atpB) gene, partial cds; chloroplast","HQ620749","atpB"
"Pteridium aquilinum","Pteridium aquilinum subsp. pinetorum isolate SL696_L258 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","KJ716371","atpB"
"Malus domestica","Malus domestica cultivar Katty ATP beta subunit (atpB) gene, promoter region; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MH459014","atpB"
"Rhamnus catharticus","Rhamnus catharticus chloroplast atpB gene","AJ235579","atpB"
"Rhus typhina","Rhus typhina ATP synthase beta subunit (atpB) gene, partial cds; plastid","GU943774","atpB"
"Rudbeckia hirta","Rudbeckia hirta var. pulcherrima voucher Aust 172 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176238","atpB"
"Sagittaria latifolia","Sagittaria latifolia ATP synthase beta subunit (atpB) gene, partial cds; chloroplast gene for chloroplast product","AF239788","atpB"
"Pennisetum glaucum","Pennisetum glaucum isolate PE01458 atpB gene and atpB-rbcL intergenic spacer, partial sequence; chloroplast","JF705286","atpB"
"Silene antirrhina","Silene antirrhina voucher Kellar 1417 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176269","atpB"
"Maianthemum racemosum","Maianthemum racemosum subsp. racemosum ATP synthase beta subunit (atpB) gene, complete cds; chloroplast","AF168945","atpB"
"Maianthemum stellatum","Maianthemum stellatum ATP synthase beta chain (atpB) gene, complete cds; chloroplast","JQ273633","atpB"
"Solanum carolinense","Solanum carolinense voucher Aust 169 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176260","atpB"
"Solanum nigrum","Solanum nigrum voucher PE CPG26425 B. Liu et al. 26425 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","ON962282","atpB"
"Solidago canadensis","Solidago canadensis isolate MM6.2 ATP synthase CF1 beta subunit (atpB) gene, partial cds; ATP synthase CF1 epsilon subunit (atpE) gene, complete cds; atpE-trnM intergenic spacer and tRNA-Met (trnM) gene, complete sequence; and trnM-trnV intergenic spacer, partial sequence; chloroplast","KX242965","atpB"
"Solidago missouriensis","Solidago missouriensis voucher Aust 198 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176243","atpB"
"Stellaria media","Stellaria media ATP synthase beta subunit (atpB) gene, partial cds; chloroplast gene for chloroplast product","AF209680","atpB"
"Symphoricarpos occidentalis","Symphoricarpos occidentalis voucher Steele 1358 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176247","atpB"
"Typha angustifolia","Typha angustifolia voucher DZY WQF0332 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","KX526054","atpB"
"Typha latifolia","Typha latifolia ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","AF168951","atpB"
"Urtica dioica","Urtica dioica chloroplast atpB gene","AJ235635","atpB"
"Uvularia sessilifolia","Uvularia sessilifolia ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","KC796830","atpB"
"Verbascum thapsus","Verbascum thapsus atpB gene","AJ236177","atpB"
"Verbena bracteata","Verbena bracteata ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","HQ384711","atpB"
"Verbena hastata","Verbena hastata voucher Steele 1369 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176256","atpB"
"Zizia aurea","Zizia aurea voucher Aust 158 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176246","atpB"
